,description,img,label
OWLClass_000499,Missing description...,img/process signals.jpg,process signals
OWLClass_000500,Missing description...,img/learn and compute.jpg,learn and compute
OWLClass_000501,Missing description...,img/decode.jpg,decode
OWLClass_000502,Missing description...,img/encode.jpg,encode
OWLClass_000503,Missing description...,img/transform.jpg,transform
OWLClass_000504,Missing description...,img/fragment.jpg,fragment
OWLClass_000505,Missing description...,img/physically break down.jpg,physically break down
OWLClass_000506,Missing description...,img/chemically break down.jpg,chemically break down
OWLClass_000507,Missing description...,img/modify physical state.jpg,modify physical state
OWLClass_000508,Missing description...,img/modify chemical/electrical state.jpg,modify chemical/electrical state
OWLClass_000509,Missing description...,img/undergo disease or death.jpg,undergo disease or death
OWLClass_000511,Missing description...,img/structural shrinkage.jpg,structural shrinkage
OWLClass_000512,Missing description...,img/fragmentation or segregation.jpg,fragmentation or segregation
OWLClass_000513,Missing description...,img/gradual suspension or cessation of life-maintaining functions.jpg,gradual suspension or cessation of life-maintaining functions
OWLClass_000514,Missing description...,img/removal or reabsorption of dead material.jpg,removal or reabsorption of dead material
OWLClass_000515,Missing description...,img/loss of fluid.jpg,loss of fluid
OWLClass_000516,Missing description...,img/stunted metabolism.jpg,stunted metabolism
OWLClass_000517,Missing description...,img/decreased flow of nutrients.jpg,decreased flow of nutrients
OWLClass_000518,Missing description...,img/prolonged isoelectric or isoionic state.jpg,prolonged isoelectric or isoionic state
OWLClass_000519,Missing description...,img/unreceptivity or unresponsitivity.jpg,unreceptivity or unresponsitivity
OWLClass_000521,"a : of, connected with, or being a function the functional differences between the departments
b : affecting physiological or psychological functions but not organic structure functional heart disease
2 : used to contribute to the development or maintenance of a larger whole functional and practical school courses; also : designed or developed chiefly from the point of view of use The design of the building is not only functional but also beautiful.
3 : performing or able to perform a regular function The flashlight was still functional after I had dropped it.
In mathematics, the term functional (as a noun) has at least two meanings.

In modern linear algebra, it refers to a linear mapping from a vector space V into its field of scalars, i.e., to an element of the dual space.
In mathematical analysis, more generally and historically, it refers to a mapping from a space {\displaystyle X} X into the real numbers, or sometimes into the complex numbers, for the purpose of establishing a calculus-like structure on X.",img/functional.jpg,functional
OWLClass_000522,"Morphology is a branch of biology dealing with the study of the form and structure of organisms and their specific structural features. This includes aspects of the outward appearance (shape, structure, colour, pattern, size), i.e. external morphology (or eidonomy), as well as the form and structure of the internal parts like bones and organs, i.e. internal morphology (or anatomy). This is in contrast to physiology, which deals primarily with function. Morphology is a branch of life science dealing with the study of gross structure of an organism or taxon and its component part.",img/morphology.jpg,morphology
OWLClass_000523,"The natural environment encompasses all living and non-living things occurring naturally, meaning in this case not artificial. The term is most often applied to the Earth or some parts of Earth. This environment encompasses the interaction of all living species, climate, weather and natural resources that affect human survival and economic activity. [1] The concept of the natural environment can be distinguished as components:

Complete ecological units that function as natural systems without massive civilized human intervention, including all vegetation, microorganisms, soil, rocks, atmosphere, and natural phenomena that occur within their boundaries and their nature.
Universal natural resources and physical phenomena that lack clear-cut boundaries, such as air, water, and climate, as well as energy, radiation, electric charge, and magnetism, not originating from civilized human actions
In contrast to the natural environment is the built environment. In such areas where man has fundamentally transformed landscapes such as urban settings and agricultural land conversion, the natural environment is greatly modified into a simplified human environment. Even acts which seem less extreme, such as building a mud hut or a photovoltaic system in the desert, the modified environment becomes an artificial one. Though many animals build things to provide a better environment for themselves, they are not human, hence beaver dams, and the works of Mound-building termites, are thought of as natural.

People seldom find absolutely natural environments on Earth, and naturalness usually varies in a continuum, from 100% natural in one extreme to 0% natural in the other. More precisely, we can consider the different aspects or components of an environment, and see that their degree of naturalness is not uniform.[2] If, for instance, in an agricultural field, the mineralogic composition and the structure of its soil are similar to those of an undisturbed forest soil, but the structure is quite different.

Natural environment is often used as a synonym for habitat.",img/environment.jpg,environment
OWLClass_000711,"This includes aspects of the outward appearance (shape, structure, colour, pattern, size), i.e. external morphology (or eidonomy), as well as the form and structure of the internal parts like bones and organs, i.e. internal morphology (or anatomy). This is in contrast to physiology, which deals primarily with function. Morphology is a branch of life science dealing with the study of gross structure of an organism or taxon and its component part",img/material.jpg,material
OWLClass_000712,"In physics, energy is the quantitative property that must be transferred to an object in order to perform work on, or to heat, the object. Energy is a conserved quantity; the law of conservation of energy states that energy can be converted in form, but not created or destroyed. The SI unit of energy is the joule, which is the energy transferred to an object by the work of moving it a distance of 1 metre against a force of 1 newton. Common forms of energy include the kinetic energy of a moving object, the potential energy stored by an object's position in a force field (gravitational, electric or magnetic), the elastic energy stored by stretching solid objects, the chemical energy released when a fuel burns, the radiant energy carried by light, and the thermal energy due to an object's temperature. Mass and energy are closely related. Due to mass-energy equivalence, any object that has mass when stationary (called rest mass) also has an equivalent amount of energy whose form is called rest energy (in that frame of reference), and any additional energy (of any form) acquired by the object above that rest energy will increase the object's total mass just as it increases its total energy. For example, after heating an object, its increase in energy could be measured as a small increase in mass, with a sensitive enough scale. Living organisms require available energy to stay alive, such as the energy humans get from food. Human civilization requires energy to function, which it gets from energy resources such as fossil fuels, nuclear fuel, or renewable energy. The processes of Earth's climate and ecosystem are driven by the radiant energy Earth receives from the sun and the geothermal energy contained within the earth.",img/energy.jpg,energy
OWLClass_000713,"A signal as referred to in communication systems, signal processing, and electrical engineering is a function that ""conveys information about the behavior or attributes of some phenomenon"". In the physical world, any quantity exhibiting variation in time or variation in space (such as an image) is potentially a signal that might provide information on the status of a physical system, or convey a message between observers, among other possibilities. The IEEE Transactions on Signal Processing states that the term ""signal"" includes audio, video, speech, image, communication, geophysical, sonar, radar, medical and musical signals. In nature, signals can take the form of any action by one organism able to be perceived by other organisms, ranging from the release of chemicals by plants to alert nearby plants of the same type of a predator, to sounds or motions made by animals to alert other animals of the presence of danger or of food. Signaling occurs in organisms all the way down to the cellular level, with cell signaling. Signaling theory, in evolutionary biology, proposes that a substantial driver for evolution is the ability for animals to communicate with each other by developing ways of signaling. In human engineering, signals are typically provided by a sensor, and often the original form of a signal is converted to another form of energy using a transducer. For example, a microphone converts an acoustic signal to a voltage waveform, and a speaker does the reverse. The formal study of the information content of signals is the field of information theory. The information in a signal is usually accompanied by noise. The term noise usually means an undesirable random disturbance, but is often extended to include unwanted signals conflicting with the desired signal (such as crosstalk). The prevention of noise is covered in part under the heading of signal integrity. The separation of desired signals from a background is the field of signal recovery, one branch of which is estimation theory, a probabilistic approach to suppressing random disturbances. Engineering disciplines such as electrical engineering have led the way in the design, study, and implementation of systems involving transmission, storage, and manipulation of information. In the latter half of the 20th century, electrical engineering itself separated into several disciplines, specialising in the design and analysis of systems that manipulate physical signals; electronic engineering and computer engineering as examples; while design engineering developed to deal with functional design of man-machine interfaces.",img/signal.jpg,signal
OWLClass_000716,"In physics, sound is a vibration that typically propagates as an audible wave of pressure, through a transmission medium such as a gas, liquid or solid. In human physiology and psychology, sound is the reception of such waves and their perception by the brain. Humans can only hear sound waves as distinct pitches when the frequency lies between about 20 Hz and 20 kHz. Sound above 20 kHz is ultrasound and is not perceptible by humans. Sound waves below 20 Hz are known as infrasound. Different animal species have varying hearing ranges.",img/acoustic.jpg,acoustic
OWLClass_000717,"In chemistry, chemical energy is the potential of a chemical substance to undergo a transformation through a chemical reaction to transform other chemical substances. Examples include batteries, food, gasoline, and more. Breaking or making of chemical bonds involves energy, which may be either absorbed or evolved from a chemical system. A very common misconception is that energy is released when bonds are broken, whereas energy is required to break bonds. Energy that can be released (or absorbed) because of a reaction between a set of chemical substances is equal to the difference between the energy content of the products and the reactants, if the initial and final temperatures are the same. This change in energy can be estimated from the bond energies of the various chemical bonds in the reactants and products. It can also be calculated from the internal energy of formation of the product molecules. The internal energy change of a chemical process is equal to the heat exchanged if it is measured under conditions of constant volume and equal initial and final temperature, as in a closed container such as a bomb calorimeter. However, under conditions of constant pressure, as in reactions in vessels open to the atmosphere, the measured heat change is not always equal to the internal energy change, because pressure-volume work also releases or absorbs energy. (The heat change at constant pressure is called the enthalpy change; in this case the enthalpy of reaction, if initial and final temperatures are equal). Another useful term is the heat of combustion, which is the energy mostly of the weak double bonds of molecular oxygen released due to a combustion reaction and often applied in the study of fuels. Food is similar to hydrocarbon and carbohydrate fuels, and when it is oxidized to carbon dioxide and water, the energy released is analogous to the heat of combustion (though not assessed in the same way as a hydrocarbon fuel -- see food energy). Chemical potential energy is a form of potential energy related to the structural arrangement of atoms or molecules. This arrangement may be the result of chemical bonds within a molecule or otherwise. Chemical energy of a chemical substance can be transformed to other forms of energy by a chemical reaction. As an example, when a fuel is burned the chemical energy of molecular oxygen is converted to heat, and the same is the case with digestion of food metabolized in a biological organism. Green plants transform solar energy to chemical energy (mostly of oxygen) through the process known as photosynthesis, and electrical energy can be converted to chemical energy and vice versa through electrochemical reactions. The similar term chemical potential is used to indicate the potential of a substance to undergo a change of configuration, be it in the form of a chemical reaction, spatial transport, particle exchange with a reservoir, etc. It is not a form of potential energy itself, but is more closely related to free energy. The confusion in terminology arises from the fact that in other areas of physics not dominated by entropy, all potential energy is available to do useful work and drives the system to spontaneously undergo changes of configuration, and thus there is no distinction between ""free"" and ""non-free"" potential energy (hence the one word ""potential""). However, in systems of large entropy such as chemical systems, the total amount of energy present (and conserved by the first law of thermodynamics) of which this Chemical Potential Energy is a part, is separated from the amount of that energy -- Thermodynamic Free Energy (which Chemical potential is derived from) -- which (appears to) drive the system forward spontaneously as its entropy increases (in accordance with the second law).",img/chemical.jpg,chemical
OWLClass_000718,"Electricity is the set of physical phenomena associated with the presence and motion of electric charge. Although initially considered a phenomenon separate from magnetism, since the development of Maxwell's equations, both are recognized as part of a single phenomenon: electromagnetism. Various common phenomena are related to electricity, including lightning, static electricity, electric heating, electric discharges and many others. The presence of an electric charge, which can be either positive or negative, produces an electric field. The movement of electric charges is an electric current and produces a magnetic field. When a charge is placed in a location with a non-zero electric field, a force will act on it. The magnitude of this force is given by Coulomb's law. Thus, if that charge were to move, the electric field would be doing work on the electric charge. Thus we can speak of electric potential at a certain point in space, which is equal to the work done by an external agent in carrying a unit of positive charge from an arbitrarily chosen reference point to that point without any acceleration and is typically measured in volts. Electricity is at the heart of many modern technologies, being used for: electric power where electric current is used to energise equipment; electronics which deals with electrical circuits that involve active electrical components such as vacuum tubes, transistors, diodes and integrated circuits, and associated passive interconnection technologies. Electrical phenomena have been studied since antiquity, though progress in theoretical understanding remained slow until the seventeenth and eighteenth centuries. Even then, practical applications for electricity were few, and it would not be until the late nineteenth century that electrical engineers were able to put it to industrial and residential use. The rapid expansion in electrical technology at this time transformed industry and society, becoming a driving force for the Second Industrial Revolution. Electricity's extraordinary versatility means it can be put to an almost limitless set of applications which include transport, heating, lighting, communications, and computation. Electrical power is now the backbone of modern industrial society.",img/electrical.jpg,electrical
OWLClass_000719,"Electromagnetism is a branch of physics involving the study of the electromagnetic force, a type of physical interaction that occurs between electrically charged particles. The electromagnetic force usually exhibits electromagnetic fields such as electric fields, magnetic fields and light, and is one of the four fundamental interactions (commonly called forces) in nature. The other three fundamental interactions are the strong interaction, the weak interaction and gravitation. Electromagnetic phenomena are defined in terms of the electromagnetic force, sometimes called the Lorentz force, which includes both electricity and magnetism as different manifestations of the same phenomenon. The electromagnetic force plays a major role in determining the internal properties of most objects encountered in daily life. Ordinary matter takes its form as a result of intermolecular forces between individual atoms and molecules in matter, and is a manifestation of the electromagnetic force. Electrons are bound by the electromagnetic force to atomic nuclei, and their orbital shapes and their influence on nearby atoms with their electrons is described by quantum mechanics. The electromagnetic force governs the processes involved in chemistry, which arise from interactions between the electrons of neighboring atoms. There are numerous mathematical descriptions of the electromagnetic field. In classical electrodynamics, electric fields are described as electric potential and electric current. In Faraday's law, magnetic fields are associated with electromagnetic induction and magnetism, and Maxwell's equations describe how electric and magnetic fields are generated and altered by each other and by charges and currents. The theoretical implications of electromagnetism, particularly the establishment of the speed of light based on properties of the ""medium"" of propagation (permeability and permittivity), led to the development of special relativity by Albert Einstein in 1905. Although electromagnetism is considered one of the four fundamental forces, at high energy the weak force and electromagnetic force are unified as a single electroweak force. In the history of the universe, during the quark epoch the unified force broke into the two separate forces as the universe cooled.",img/electromagnetic.jpg,electromagnetic
OWLClass_000720,"Hydropower or water power is power derived from the energy of falling water or fast running water, which may be harnessed for useful purposes. Since ancient times, hydropower from many kinds of watermills has been used as a renewable energy source for irrigation and the operation of various mechanical devices, such as gristmills, sawmills, textile mills, trip hammers, dock cranes, domestic lifts, and ore mills. A trompe, which produces compressed air from falling water, is sometimes used to power other machinery at a distance. In the late 19th century, hydropower became a source for generating electricity. Cragside in Northumberland was the first house powered by hydroelectricity in 1878 and the first commercial hydroelectric power plant was built at Niagara Falls in 1879. In 1881, street lamps in the city of Niagara Falls were powered by hydropower. Since the early 20th century, the term has been used almost exclusively in conjunction with the modern development of hydroelectric power. International institutions such as the World Bank view hydropower as a means for economic development without adding substantial amounts of carbon to the atmosphere, but dams can have significant negative social and environmental impacts.",img/hydraulic.jpg,hydraulic
OWLClass_000721,"Magnetism is a class of physical phenomena that are mediated by magnetic fields. Electric currents and the magnetic moments of elementary particles give rise to a magnetic field, which acts on other currents and magnetic moments. The most familiar effects occur in ferromagnetic materials, which are strongly attracted by magnetic fields and can be magnetized to become permanent magnets, producing magnetic fields themselves. Only a few substances are ferromagnetic; the most common ones are iron, nickel and cobalt and their alloys. The prefix ferro- refers to iron, because permanent magnetism was first observed in lodestone, a form of natural iron ore called magnetite, Fe3O4. Although ferromagnetism is responsible for most of the effects of magnetism encountered in everyday life, all other materials are influenced to some extent by a magnetic field, by several other types of magnetism. Paramagnetic substances such as aluminum and oxygen are weakly attracted to an applied magnetic field; diamagnetic substances such as copper and carbon are weakly repelled; while antiferromagnetic materials such as chromium and spin glasses have a more complex relationship with a magnetic field. The force of a magnet on paramagnetic, diamagnetic, and antiferromagnetic materials is usually too weak to be felt, and can be detected only by laboratory instruments, so in everyday life these substances are often described as non-magnetic. The magnetic state (or magnetic phase) of a material depends on temperature and other variables such as pressure and the applied magnetic field. A material may exhibit more than one form of magnetism as these variables change.",img/magnetic.jpg,magnetic
OWLClass_000722,"In physical sciences, mechanical energy is the sum of potential energy and kinetic energy. It is the energy associated with the motion and position of an object. The principle of conservation of mechanical energy states that in an isolated system that is only subject to conservative forces, the mechanical energy is constant. If an object is moved in the opposite direction of a conservative net force, the potential energy will increase and if the speed (not the velocity) of the object is changed, the kinetic energy of the object is changed as well. In all real systems, however, nonconservative forces, like frictional forces, will be present, but often they are of negligible values and the mechanical energy's being constant can therefore be a useful approximation. In elastic collisions, the mechanical energy is conserved but in inelastic collisions, some mechanical energy is converted into heat. The equivalence between lost mechanical energy (dissipation) and an increase in temperature was discovered by James Prescott Joule. Many devices are used to convert mechanical energy to or from other forms of energy, e.g. an electric motor converts electrical energy to mechanical energy, an electric generator converts mechanical energy into electrical energy and a steam engine converts heat energy to mechanical energy.",img/mechanical.jpg,mechanical
OWLClass_000723,"Pneumatics is a branch of engineering that makes use of gas or pressurized air. Pneumatic systems used in industry are commonly powered by compressed air or compressed inert gases. A centrally located and electrically powered compressor powers cylinders, air motors, and other pneumatic devices. A pneumatic system controlled through manual or automatic solenoid valves is selected when it provides a lower cost, more flexible, or safer alternative to electric motors and actuators. Pneumatics also has applications in dentistry, construction, mining, and other areas.",img/pneumatic.jpg,pneumatic
OWLClass_000724,"A thermal column (or thermal) is a column of rising air in the lower altitudes of Earth's atmosphere, a form of atmospheric updraft. Thermals are created by the uneven heating of Earth's surface from solar radiation, and are an example of convection, specifically atmospheric convection. The Sun warms the ground, which in turn warms the air directly above it.",img/thermal.jpg,thermal
OWLClass_000725,"Gas is one of the four fundamental states of matter (the others being solid, liquid, and plasma). A pure gas may be made up of individual atoms (e.g. a noble gas like neon), elemental molecules made from one type of atom (e.g. oxygen), or compound molecules made from a variety of atoms (e.g. carbon dioxide). A gas mixture would contain a variety of pure gases much like the air. What distinguishes a gas from liquids and solids is the vast separation of the individual gas particles. This separation usually makes a colorless gas invisible to the human observer. The interaction of gas particles in the presence of electric and gravitational fields are considered negligible as indicated by the constant velocity vectors in the image. The gaseous state of matter is found between the liquid and plasma states, the latter of which provides the upper temperature boundary for gases. Bounding the lower end of the temperature scale lie degenerative quantum gases which are gaining increasing attention. High-density atomic gases super cooled to incredibly low temperatures are classified by their statistical behavior as either a Bose gas or a Fermi gas.",img/gas.jpg,gas
OWLClass_000726,"A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure. As such, it is one of the four fundamental states of matter (the others being solid, gas, and plasma), and is the only state with a definite volume but no fixed shape. A liquid is made up of tiny vibrating particles of matter, such as atoms, held together by intermolecular bonds. Water is, by far, the most common liquid on Earth. Like a gas, a liquid is able to flow and take the shape of a container. Most liquids resist compression, although others can be compressed. Unlike a gas, a liquid does not disperse to fill every space of a container, and maintains a fairly constant density. A distinctive property of the liquid state is surface tension, leading to wetting phenomena. The density of a liquid is usually close to that of a solid, and much higher than in a gas. Therefore, liquid and solid are both termed condensed matter. On the other hand, as liquids and gases share the ability to flow, they are both called fluids. Although liquid water is abundant on Earth, this state of matter is actually the least common in the known universe, because liquids require a relatively narrow temperature/pressure range to exist. Most known matter in the universe is in gaseous form (with traces of detectable solid matter) as interstellar clouds or in plasma form within stars.",img/liquid.jpg,liquid
OWLClass_000727,"Solid is one of the four fundamental states of matter (the others being liquid, gas, and plasma). In solids molecules are closely packed. It is characterized by structural rigidity and resistance to changes of shape or volume. Unlike a liquid, a solid object does not flow to take on the shape of its container, nor does it expand to fill the entire volume available to it like a gas does. The atoms in a solid are tightly bound to each other, either in a regular geometric lattice (crystalline solids, which include metals and ordinary ice) or irregularly (an amorphous solid such as common window glass). Solids cannot be compressed with little pressure whereas gases can be compressed with little pressure because in gases molecules are loosely packed. The branch of physics that deals with solids is called solid-state physics, and is the main branch of condensed matter physics (which also includes liquids). Materials science is primarily concerned with the physical and chemical properties of solids. Solid-state chemistry is especially concerned with the synthesis of novel materials, as well as the science of identification and chemical composition.",img/solid.jpg,solid
OWLClass_000728,Missing description...,img/mixture.jpg,mixture
OWLClass_000730,"In biology, an organism is any individual entity that exhibits the properties of life. It is a synonym for ""life form"". Organisms are classified by taxonomy into specified groups such as the multicellular animals, plants, and fungi; or unicellular microorganisms such as a protists, bacteria, and archaea. All types of organisms are capable of reproduction, growth and development, maintenance, and some degree of response to stimuli. Humans are multicellular animals composed of many trillions of cells which differentiate during development into specialized tissues and organs. An organism may be either a prokaryote or a eukaryote. Prokaryotes are represented by two separate domains-- bacteria and archaea. Eukaryotic organisms are characterized by the presence of a membrane-bound cell nucleus and contain additional membrane-bound compartments called organelles (such as mitochondria in animals and plants and plastids in plants and algae, all generally considered to be derived from endosymbiotic bacteria). Fungi, animals and plants are examples of kingdoms of organisms within the eukaryotes. Estimates on the number of Earth's current species range from 10 million to 14 million, of which only about 1.2 million have been documented. More than 99% of all species, amounting to over five billion species, that ever lived are estimated to be extinct. In 2016, a set of 355 genes from the last universal common ancestor (LUCA) of all organisms was identified.",img/organism.jpg,organism
OWLClass_000731,Missing description...,img/status.jpg,status
OWLClass_000732,Missing description...,img/control.jpg,control
OWLClass_000735,Missing description...,img/analog.jpg,analog
OWLClass_000736,Missing description...,img/discrete.jpg,discrete
OWLClass_000737,"In physics, sound is a vibration that typically propagates as an audible wave of pressure, through a transmission medium such as a gas, liquid or solid. In human physiology and psychology, sound is the reception of such waves and their perception by the brain. Humans can only hear sound waves as distinct pitches when the frequency lies between about 20 Hz and 20 kHz. Sound above 20 kHz is ultrasound and is not perceptible by humans. Sound waves below 20 Hz are known as infrasound. Different animal species have varying hearing ranges.",img/auditory.jpg,auditory
OWLClass_000738,"Olfaction is a chemoreception that forms the sense of smell. Olfaction has many purposes, such as the detection of hazards, pheromones, and food. It integrates with other senses to form the sense of flavor. Olfaction occurs when odorants bind to specific sites on olfactory receptors located in the nasal cavity. Glomeruli aggregate signals from these receptors and transmit them to the olfactory bulb, where the sensory input will start to interact with parts of the brain responsible for smell identification, memory, and emotion. Often, land organisms will have separate olfaction systems for smell and taste (orthonasal smell and retronasal smell), but water-dwelling organisms usually have only one system.",img/olfactory.jpg,olfactory
OWLClass_000739,"The somatosensory system is a part of the sensory nervous system. The somatosensory system is a complex system of sensory neurons and pathways that responds to changes at the surface or inside the body. The axons (as afferent nerve fibers), of sensory neurons connect with, or respond to, various receptor cells. These sensory receptor cells are activated by different stimuli such as heat and nociception, giving a functional name to the responding sensory neuron, such as a thermoreceptor which carries information about temperature changes. Other types include mechanoreceptors, chemoreceptors, and nociceptors and they send signals along a sensory nerve to the spinal cord where they may be processed by other sensory neurons and then relayed to the brain for further processing. Sensory receptors are found all over the body including the skin, epithelial tissues, muscles, bones and joints, internal organs, and the cardiovascular system.  Somatic senses are sometimes referred to as somesthetic senses, with the understanding that somesthesis includes the sense of touch, proprioception (sense of position and movement), and (depending on usage) haptic perception. The mapping of the body surfaces in the brain is called somatotopy. In the cortex, it is also referred to as the cortical homunculus. This brain-surface (""cortical"") map is not immutable, however. Dramatic shifts can occur in response to stroke or injury.",img/tactile.jpg,tactile
OWLClass_000740,"Taste, gustatory perception, or gustation is one of the five traditional senses that belongs to the gustatory system. Taste is the sensation produced when a substance in the mouth reacts chemically with taste receptor cells located on taste buds in the oral cavity, mostly on the tongue. Taste, along with smell (olfaction) and trigeminal nerve stimulation (registering texture, pain, and temperature), determines flavors of food or other substances. Humans have taste receptors on taste buds (gustatory calyculi) and other areas including the upper surface of the tongue and the epiglottis. The gustatory cortex is responsible for the perception of taste. The tongue is covered with thousands of small bumps called papillae, which are visible to the naked eye. Within each papilla are hundreds of taste buds. The exception to this is the filiform papillae that do not contain taste buds. There are between 2000 and 5000 taste buds that are located on the back and front of the tongue. Others are located on the roof, sides and back of the mouth, and in the throat. Each taste bud contains 50 to 100 taste receptor cells. The sensation of taste includes five established basic tastes: sweetness, sourness, saltiness, bitterness, and savoriness. Scientific experiments have proven that these five tastes exist and are distinct from one another. Taste buds are able to distinguish between different tastes through detecting interaction with different molecules or ions. Sweet, savory, and bitter tastes are triggered by the binding of molecules to G protein-coupled receptors on the cell membranes of taste buds. Saltiness and sourness are perceived when alkali metal or hydrogen ions enter taste buds, respectively. The basic tastes contribute only partially to the sensation and flavor of food in the mouth -- other factors include smell, detected by the olfactory epithelium of the nose; texture, detected through a variety of mechanoreceptors, muscle nerves, etc.; temperature, detected by thermoreceptors; and ""coolness"" (such as of menthol) and ""hotness"" (pungency), through chemesthesis. As taste senses both harmful and beneficial things, all basic tastes are classified as either aversive or appetitive, depending upon the effect the things they sense have on our bodies. Sweetness helps to identify energy-rich foods, while bitterness serves as a warning sign of poisons. Among humans, taste perception begins to fade around 50 years of age because of loss of tongue papillae and a general decrease in saliva production. Humans can also have distortion of tastes through dysgeusia. Not all mammals share the same taste senses: some rodents can taste starch (which humans cannot), cats cannot taste sweetness, and several other carnivores including hyenas, dolphins, and sea lions, have lost the ability to sense up to four of their ancestral five taste senses.",img/taste.jpg,taste
OWLClass_000741,"Visual perception is the ability to interpret the surrounding environment using light in the visible spectrum reflected by the objects in the environment. The resulting perception is also known as visual perception, eyesight, sight, or vision (adjectival form: visual, optical, or ocular). The various physiological components involved in vision are referred to collectively as the visual system, and are the focus of much research in linguistics, psychology, cognitive science, neuroscience, and molecular biology, collectively referred to as vision science.",img/visual.jpg,visual
OWLClass_000768,"In biology and ecology, abiotic components or abiotic factors are non-living chemical and physical parts of the environment that affect living organisms and the functioning of ecosystems. Abiotic factors and the phenomena associated with them underpin all biology. Abiotic components include physical conditions and non-living resources that affect living organisms in terms of growth, maintenance, and reproduction. Resources are distinguished as substances or objects in the environment required by one organism and consumed or otherwise made unavailable for use by other organisms.  Component degradation of a substance occurs by chemical or physical processes, e.g. hydrolysis. All non-living components of an ecosystem, such as atmospheric conditions and water resources, are called abiotic components.",img/abiotic factors.jpg,abiotic factors
